time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0045,0.3536,0.35572,1.36394,1.35802,0,-0.0135263,0,-5.27555,0,-0.0352473,-63.6506,0,0,0
0.0046,0.3536,0.355814,1.36394,1.35777,0,-0.0137727,0,-5.37432,0,0.0548392,-63.2625,0,0,0
0.0047,0.3536,0.35591,1.36394,1.35751,0,-0.0140164,0,-5.47197,0,0.146716,-62.8673,0,0,0
0.0048,0.3536,0.356007,1.36394,1.35724,0,-0.0142575,0,-5.5685,0,0.240229,-62.4652,0,0,0
0.0049,0.3536,0.356107,1.36394,1.35697,0,-0.014496,0,-5.66391,0,0.335457,-62.0559,0,0,0
0.005,0.3536,0.356208,1.36394,1.3567,0,-0.0147319,0,-5.75817,0,0.432318,-61.64,0,0,0
0.0051,0.3536,0.35631,1.36394,1.35642,0,-0.0149653,0,-5.85128,0,0.530816,-61.2174,0,0,0
0.0052,0.3536,0.356414,1.36394,1.35613,0,-0.015196,0,-5.94324,0,0.630913,-60.7883,0,0,0
0.0053,0.3536,0.35652,1.36394,1.35585,0,-0.0154241,0,-6.03403,0,0.732614,-60.3525,0,0,0
0.0054,0.3536,0.356628,1.36394,1.35555,0,-0.01565,0,-6.12366,0,0.835911,-59.9102,0,0,0
0.0055,0.3536,0.356737,1.36394,1.35526,0,-0.0158732,0,-6.2121,0,0.940734,-59.4618,0,0,0
0.0056,0.3536,0.356847,1.36394,1.35496,0,-0.0160939,0,-6.29936,0,1.04704,-59.0071,0,0,0
0.0057,0.3536,0.356959,1.36394,1.35466,0,-0.0163121,0,-6.38542,0,1.15491,-58.5463,0,0,0
0.0058,0.3536,0.357072,1.36394,1.35435,0,-0.0165278,0,-6.47029,0,1.26426,-58.0795,0,0,0
0.0059,0.3536,0.357187,1.36394,1.35404,0,-0.0167412,0,-6.55395,0,1.37502,-57.6069,0,0,0
0.006,0.3536,0.357303,1.36394,1.35372,0,-0.0169519,0,-6.6364,0,1.48732,-57.1284,0,0,0
0.0061,0.3536,0.357421,1.36394,1.3534,0,-0.0171603,0,-6.71762,0,1.60094,-56.6444,0,0,0
0.0062,0.3536,0.35754,1.36394,1.35308,0,-0.0173663,0,-6.79763,0,1.716,-56.1545,0,0,0
0.0063,0.3536,0.35766,1.36394,1.35276,0,-0.0175699,0,-6.8764,0,1.83244,-55.6595,0,0,0
0.0064,0.3536,0.357782,1.36394,1.35243,0,-0.0177711,0,-6.95394,0,1.95021,-55.1589,0,0,0
0.0065,0.3536,0.357905,1.36394,1.35209,0,-0.01797,0,-7.03024,0,2.06931,-54.6529,0,0,0
0.0066,0.3536,0.358029,1.36394,1.35176,0,-0.0181665,0,-7.10529,0,2.18971,-54.1421,0,0,0
0.0067,0.3536,0.358155,1.36394,1.35142,0,-0.0183607,0,-7.1791,0,2.3114,-53.6261,0,0,0
0.0068,0.3536,0.358282,1.36394,1.35108,0,-0.0185525,0,-7.25164,0,2.43435,-53.1052,0,0,0
0.0069,0.3536,0.35841,1.36394,1.35073,0,-0.0187421,0,-7.32294,0,2.5585,-52.5795,0,0,0
0.007,0.3536,0.358539,1.36394,1.35038,0,-0.0189295,0,-7.39296,0,2.68388,-52.049,0,0,0
0.0071,0.3536,0.358669,1.36394,1.35003,0,-0.0191145,0,-7.46172,0,2.81038,-51.5138,0,0,0
0.0072,0.3536,0.358801,1.36394,1.34968,0,-0.0192975,0,-7.52921,0,2.93811,-50.9743,0,0,0
0.0073,0.3536,0.358934,1.36394,1.34932,0,-0.0194781,0,-7.59542,0,3.06698,-50.4302,0,0,0
0.0074,0.3536,0.359067,1.36394,1.34896,0,-0.0196565,0,-7.66036,0,3.1969,-49.882,0,0,0
0.0075,0.3536,0.359202,1.36394,1.3486,0,-0.0198326,0,-7.72401,0,3.32796,-49.3296,0,0,0
0.0076,0.3536,0.359338,1.36394,1.34824,0,-0.0200068,0,-7.78639,0,3.46007,-48.773,0,0,0
0.0077,0.3536,0.359475,1.36394,1.34787,0,-0.0201787,0,-7.84747,0,3.59326,-48.2124,0,0,0
0.0078,0.3536,0.359613,1.36394,1.3475,0,-0.0203485,0,-7.90727,0,3.72736,-47.6482,0,0,0
0.0079,0.3536,0.359752,1.36394,1.34713,0,-0.0205163,0,-7.96578,0,3.86249,-47.0801,0,0,0
0.008,0.3536,0.359892,1.36394,1.34675,0,-0.0206819,0,-8.023,0,3.99865,-46.5082,0,0,0
0.0081,0.3536,0.360032,1.36394,1.34638,0,-0.0208454,0,-8.07892,0,4.1356,-45.9331,0,0,0
0.0082,0.3536,0.360174,1.36394,1.346,0,-0.0210071,0,-8.13355,0,4.27355,-45.3544,0,0,0
0.0083,0.3536,0.360317,1.36394,1.34562,0,-0.0211666,0,-8.18688,0,4.41235,-44.7723,0,0,0
0.0084,0.3536,0.36046,1.36394,1.34524,0,-0.021324,0,-8.23891,0,4.55205,-44.1869,0,0,0
0.0085,0.3536,0.360604,1.36394,1.34485,0,-0.0214797,0,-8.28964,0,4.69252,-43.5987,0,0,0
