time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0046,0.3536,0.355814,1.36394,1.35777,0,0.00883698,0,-5.43864,0,0.0539017,-63.2625,0,0,0
0.0047,0.3536,0.35591,1.36394,1.35751,0,0.00901169,0,-5.53751,0,0.145699,-62.8672,0,0,0
0.0048,0.3536,0.356007,1.36394,1.35724,0,0.00918585,0,-5.63524,0,0.239212,-62.465,0,0,0
0.0049,0.3536,0.356107,1.36394,1.35697,0,0.0093596,0,-5.73183,0,0.334363,-62.0558,0,0,0
0.005,0.3536,0.356208,1.36394,1.3567,0,0.00953317,0,-5.82728,0,0.431185,-61.6399,0,0,0
0.0051,0.3536,0.35631,1.36394,1.35642,0,0.00970638,0,-5.92157,0,0.529645,-61.2173,0,0,0
0.0052,0.3536,0.356414,1.36394,1.35613,0,0.00987935,0,-6.0147,0,0.629703,-60.7882,0,0,0
0.0053,0.3536,0.35652,1.36394,1.35585,0,0.0100521,0,-6.10666,0,0.731364,-60.3525,0,0,0
0.0054,0.3536,0.356628,1.36394,1.35555,0,0.0102248,0,-6.19744,0,0.834621,-59.9101,0,0,0
0.0055,0.3536,0.356737,1.36394,1.35526,0,0.010397,0,-6.28703,0,0.939405,-59.4617,0,0,0
0.0056,0.3536,0.356847,1.36394,1.35496,0,0.0105693,0,-6.37544,0,1.04567,-59.007,0,0,0
0.0057,0.3536,0.356959,1.36394,1.35466,0,0.0107415,0,-6.46264,0,1.1535,-58.5462,0,0,0
0.0058,0.3536,0.357072,1.36394,1.35435,0,0.0109134,0,-6.54864,0,1.26281,-58.0794,0,0,0
0.0059,0.3536,0.357187,1.36394,1.35404,0,0.0110854,0,-6.63342,0,1.37353,-57.6068,0,0,0
0.006,0.3536,0.357303,1.36394,1.35372,0,0.0112574,0,-6.71699,0,1.48579,-57.1283,0,0,0
0.0061,0.3536,0.357421,1.36394,1.3534,0,0.0114294,0,-6.79933,0,1.5994,-56.6441,0,0,0
0.0062,0.3536,0.35754,1.36394,1.35308,0,0.0116016,0,-6.88044,0,1.71443,-56.1545,0,0,0
0.0063,0.3536,0.35766,1.36394,1.35276,0,0.0117737,0,-6.96032,0,1.83083,-55.6592,0,0,0
0.0064,0.3536,0.357782,1.36394,1.35243,0,0.0119461,0,-7.03896,0,1.94852,-55.1588,0,0,0
0.0065,0.3536,0.357905,1.36394,1.35209,0,0.0121183,0,-7.11635,0,2.06757,-54.653,0,0,0
0.0066,0.3536,0.358029,1.36394,1.35176,0,0.012291,0,-7.19249,0,2.18797,-54.142,0,0,0
0.0067,0.3536,0.358155,1.36394,1.35142,0,0.0124638,0,-7.26738,0,2.30958,-53.626,0,0,0
0.0068,0.3536,0.358282,1.36394,1.35108,0,0.0126368,0,-7.341,0,2.43248,-53.1051,0,0,0
0.0069,0.3536,0.35841,1.36394,1.35073,0,0.0128101,0,-7.41336,0,2.55659,-52.5794,0,0,0
0.007,0.3536,0.358539,1.36394,1.35038,0,0.0129838,0,-7.48446,0,2.68193,-52.0489,0,0,0
0.0071,0.3536,0.358669,1.36394,1.35003,0,0.0131577,0,-7.55428,0,2.80848,-51.5137,0,0,0
0.0072,0.3536,0.358801,1.36394,1.34968,0,0.013332,0,-7.62283,0,2.93617,-50.974,0,0,0
0.0073,0.3536,0.358934,1.36394,1.34932,0,0.0135067,0,-7.6901,0,3.06495,-50.4302,0,0,0
0.0074,0.3536,0.359067,1.36394,1.34896,0,0.0136817,0,-7.75609,0,3.19487,-49.8819,0,0,0
0.0075,0.3536,0.359202,1.36394,1.3486,0,0.0138571,0,-7.82079,0,3.32588,-49.3294,0,0,0
0.0076,0.3536,0.359338,1.36394,1.34824,0,0.0140331,0,-7.88421,0,3.45796,-48.7727,0,0,0
0.0077,0.3536,0.359475,1.36394,1.34787,0,0.0142095,0,-7.94633,0,3.59105,-48.2124,0,0,0
0.0078,0.3536,0.359613,1.36394,1.3475,0,0.0143864,0,-8.00717,0,3.72512,-47.6481,0,0,0
0.0079,0.3536,0.359752,1.36394,1.34713,0,0.0145638,0,-8.06671,0,3.86025,-47.0799,0,0,0
0.008,0.3536,0.359892,1.36394,1.34675,0,0.0147418,0,-8.12496,0,3.99628,-46.5082,0,0,0
0.0081,0.3536,0.360032,1.36394,1.34638,0,0.0149204,0,-8.18191,0,4.13328,-45.933,0,0,0
0.0082,0.3536,0.360174,1.36394,1.346,0,0.0150995,0,-8.23756,0,4.27118,-45.3542,0,0,0
0.0083,0.3536,0.360317,1.36394,1.34562,0,0.0152794,0,-8.29191,0,4.40994,-44.7721,0,0,0
0.0084,0.3536,0.36046,1.36394,1.34524,0,0.0154599,0,-8.34496,0,4.54956,-44.1869,0,0,0
0.0085,0.3536,0.360604,1.36394,1.34485,0,0.0156411,0,-8.39671,0,4.69003,-43.5986,0,0,0
0.0086,0.3536,0.360749,1.36394,1.34446,0,0.015823,0,-8.44716,0,4.83128,-43.0073,0,0,0
0.0087,0.3536,0.360895,1.36394,1.34408,0,0.0160055,0,-8.4963,0,4.97335,-42.4131,0,0,0
0.0088,0.3536,0.361042,1.36394,1.34369,0,0.0161889,0,-8.54414,0,5.11615,-41.8161,0,0,0
0.0089,0.3536,0.361189,1.36394,1.3433,0,0.0163728,0,-8.59068,0,5.25964,-41.2164,0,0,0
0.009,0.3536,0.361337,1.36394,1.3429,0,0.0165578,0,-8.63592,0,5.40383,-40.6143,0,0,0
0.0091,0.3536,0.361486,1.36394,1.34251,0,0.0167435,0,-8.67985,0,5.5487,-40.0096,0,0,0
0.0092,0.3536,0.361636,1.36394,1.34212,0,0.01693,0,-8.72248,0,5.69427,-39.4025,0,0,0
0.0093,0.3536,0.361786,1.36394,1.34172,0,0.0171173,0,-8.76382,0,5.84042,-38.7931,0,0,0
0.0094,0.3536,0.361937,1.36394,1.34132,0,0.0173055,0,-8.80385,0,5.98712,-38.1818,0,0,0
0.0095,0.3536,0.362088,1.36394,1.34092,0,0.0174946,0,-8.84258,0,6.13445,-37.5681,0,0,0
0.0096,0.3536,0.36224,1.36394,1.34052,0,0.0176845,0,-8.88002,0,6.28229,-36.9527,0,0,0
0.0097,0.3536,0.362392,1.36394,1.34012,0,0.0178754,0,-8.91616,0,6.43062,-36.3355,0,0,0
0.0098,0.3536,0.362545,1.36394,1.33972,0,0.0180671,0,-8.951,0,6.57948,-35.7164,0,0,0
0.0099,0.3536,0.362699,1.36394,1.33932,0,0.0182598,0,-8.98456,0,6.72874,-35.0959,0,0,0
0.01,0.3536,0.362853,1.36394,1.33892,0,0.0184536,0,-9.01682,0,6.87843,-34.4738,0,0,0
0.0101,0.3536,0.363007,1.36394,1.33851,0,0.018648,0,-9.0478,0,7.02853,-33.8502,0,0,0
0.0102,0.3536,0.363162,1.36394,1.33811,0,0.018844,0,-9.07749,0,7.17904,-33.2253,0,0,0
0.0103,0.3536,0.363318,1.36394,1.3377,0,0.0190405,0,-9.1059,0,7.32989,-32.5991,0,0,0
0.0104,0.3536,0.363473,1.36394,1.3373,0,0.019238,0,-9.13303,0,7.48101,-31.972,0,0,0
0.0105,0.3536,0.363629,1.36394,1.33689,0,0.0194367,0,-9.15888,0,7.63241,-31.3437,0,0,0
0.0106,0.3536,0.363786,1.36394,1.33649,0,0.0196365,0,-9.18346,0,7.78412,-30.7145,0,0,0
0.0107,0.3536,0.363942,1.36394,1.33608,0,0.0198373,0,-9.20677,0,7.9361,-30.0843,0,0,0
0.0108,0.3536,0.3641,1.36394,1.33567,0,0.020039,0,-9.22881,0,8.08822,-29.4537,0,0,0
0.0109,0.3536,0.364257,1.36394,1.33527,0,0.0202417,0,-9.24958,0,8.24053,-28.8222,0,0,0
0.011,0.3536,0.364414,1.36394,1.33486,0,0.0204458,0,-9.2691,0,8.39306,-28.1902,0,0,0
0.0111,0.3536,0.364572,1.36394,1.33446,0,0.0206507,0,-9.28736,0,8.54564,-27.5578,0,0,0
0.0112,0.3536,0.36473,1.36394,1.33405,0,0.020857,0,-9.30438,0,8.69833,-26.9251,0,0,0
0.0113,0.3536,0.364889,1.36394,1.33364,0,0.0210642,0,-9.32014,0,8.85106,-26.2922,0,0,0
0.0114,0.3536,0.365047,1.36394,1.33324,0,0.0212724,0,-9.33466,0,9.00389,-25.6591,0,0,0
0.0115,0.3536,0.365205,1.36394,1.33283,0,0.0214816,0,-9.34795,0,9.15677,-25.0257,0,0,0
0.0116,0.3536,0.365364,1.36394,1.33243,0,0.0216924,0,-9.36,0,9.30957,-24.3926,0,0,0
0.0117,0.3536,0.365523,1.36394,1.33203,0,0.0219039,0,-9.37082,0,9.46233,-23.7594,0,0,0
0.0118,0.3536,0.365682,1.36394,1.33162,0,0.0221167,0,-9.38042,0,9.61506,-23.1265,0,0,0
0.0119,0.3536,0.365841,1.36394,1.33122,0,0.0223305,0,-9.3888,0,9.76765,-22.494,0,0,0
0.012,0.3536,0.366,1.36394,1.33082,0,0.0225455,0,-9.39597,0,9.92012,-21.8618,0,0,0
0.0121,0.3536,0.366159,1.36394,1.33042,0,0.0227615,0,-9.40193,0,10.0725,-21.2302,0,0,0
0.0122,0.3536,0.366318,1.36394,1.33002,0,0.0229788,0,-9.40669,0,10.2246,-20.599,0,0,0
0.0123,0.3536,0.366477,1.36394,1.32962,0,0.0231971,0,-9.41025,0,10.3766,-19.9685,0,0,0
0.0124,0.3536,0.366636,1.36394,1.32922,0,0.0234166,0,-9.41262,0,10.5283,-19.3387,0,0,0
0.0125,0.3536,0.366794,1.36394,1.32883,0,0.0236372,0,-9.41381,0,10.6798,-18.7099,0,0,0
0.0126,0.3536,0.366953,1.36394,1.32843,0,0.0238589,0,-9.41382,0,10.8309,-18.0818,0,0,0
0.0127,0.3536,0.367112,1.36394,1.32804,0,0.0240819,0,-9.41267,0,10.9819,-17.4546,0,0,0
0.0128,0.3536,0.36727,1.36394,1.32764,0,0.0243057,0,-9.41034,0,11.1323,-16.8289,0,0,0
0.0129,0.3536,0.367429,1.36394,1.32725,0,0.0245309,0,-9.40686,0,11.2825,-16.204,0,0,0
0.013,0.3536,0.367587,1.36394,1.32686,0,0.024757,0,-9.40223,0,11.4322,-15.5805,0,0,0
0.0131,0.3536,0.367745,1.36394,1.32647,0,0.0249844,0,-9.39645,0,11.5816,-14.9581,0,0,0
0.0132,0.3536,0.367903,1.36394,1.32609,0,0.0252126,0,-9.38953,0,11.7305,-14.3372,0,0,0
